title,event_type,event_year,location_city,location_address,airspace,waiver_approved,notes
Brainerd,race,2025,Brainerd,"5523 Birchdale Rd., Brainerd, MN, 56401",U,FALSE,
Bristol,race,2025,Bristol,"151 Speedway Blvd., Bristol, TN 37620",U,FALSE,
Charlotte I,race,2025,Charlotte,"6570 Bruton Smith Blvd, Concord, NC, 28027",U,FALSE,
Charlotte II,race,2025,Charlotte,"6570 Bruton Smith Blvd, Concord, NC, 28027",U,FALSE,
Dallas,race,2025,Dallas,"7500 US-287, Ennis, TX 95119",U,FALSE,
Denver,race,2025,Denver,"Denver, CO",U,FALSE,
Epping,race,2025,Epping,"280 Exeter Rd., Epping, NH, 03042",U,FALSE,
Gainesville,race,2025,Gainesville,"11211 N County Road 225
Gainesville, FL, 32609",U,FALSE,
Indy,race,2025,Indy,"10267 US-136, Indianapolis, IN 46234",U,FALSE,
Norwalk,race,2025,Norwalk,"1300 OH-18, Norwalk, OH 44857",U,FALSE,
Phoenix,race,2025,Phoenix,"20000 S. Maricopa Rd., Chandler, AZ 85226",U,FALSE,
Pomona I,race,2025,Pomona,"1801 W. McKinley Ave., Pomona, CA, 91768",U,FALSE,
Pomona II,race,2025,Pomona,"1801 W. McKinley Ave., Pomona, CA, 91768",U,FALSE,
Reading,race,2025,Reading,"30 Stauffer Park Lane, Mohnton, PA 19540",U,FALSE,
Richmond,race,2025,Richmond,"8018 Boydton Plank Road, North Dinwiddie, VA 23803",U,FALSE,
Seattle,race,2025,Seattle,"31001 144th Ave. SE, Kent, WA, 98042",U,FALSE,
Sonoma,race,2025,Sonoma,"29355 Arnold Dr., Sonoma, CA 95476",U,FALSE,
St Louis,race,2025,Madison,"700 Raceway Blvd., Madison, IL, 62060",U,FALSE,
Vegas I,race,2025,Las Vegas,"7000 N Las Vegas Blvd., Las Vegas, NV, 89115",U,FALSE,
Vegas II,race,2025,Las Vegas,"7000 N Las Vegas Blvd., Las Vegas, NV, 89115",U,FALSE,
Chicago,race,2025,Joliet,"500 Speedway Blvd, Joliet, IL 60433",U,FALSE,
Georgia,race,2025,Adel,"2521 Hwy US 41, Adel, GA 31620",U,FALSE,
