invoice_number,client_id,event_name,location,event_id,service,amount,date,due,paid_date,status
240051,1,Lucas Oil Nationals,"Brainerd, MN",1,Drone Services,3000,8/21/24,9/21/24,9/30/24,Paid
230019,1,Lucas Oil Nationals,"Brainerd, MN",1,Drone Services,1560.19,8/20/23,9/20/23,9/25/23,Paid
240039,1,ThunderNationals,Bristol,2,Drone Services,3000,6/11/24,7/11/24,7/12/24,Paid
250108,1,NHRA ThunderNationals,"Bristol, TN",2,Drone Services,3250,6/8/25,7/8/25,7/23/25,Paid
240025,1,Charlotte 4-Wide,"Charlotte, NC",3,Drone Services,3000,4/30/24,5/30/24,6/10/24,Paid
250105,1,Charlotte 4-Wide Nationals,Charlotte,3,Drone Services,4000,4/28/25,5/28/25,5/30/25,Paid
240055,1,Carolina Nationals,"Charlotte, NC",4,Drone Services,3000,10/1/24,11/1/24,11/10/24,Paid
230022,1,Carolina Nationals,"Charlotte, NC",4,Drone Services,1624,9/24/23,10/24/23,10/27/23,Paid
240033,1,Route 66 Nationals,"Chicago, IL",21,Drone Services,3000,5/20/24,6/20/24,7/25/24,Paid
250106,1,Route 66 NHRA Nationals,"Joliet, IL",21,Drone Services,3250,5/19/25,6/19/25,6/21/25,Paid
240056,1,Texas FallNationals,"Dallas, TX",5,Drone Services,3000,10/15/24,11/14/24,11/20/24,Paid
230024,1,Texas FallNationals,"Dallas, TX",5,Drone Services,1531.7,10/15/23,11/15/23,11/20/23,Paid
230016,1,Mile-High Nationals,"Denver, CO",6,Drone Services,1500,7/16/23,8/16/23,8/25/23,Paid
230012,1,New England Nationals,"Epping, NH",7,Drone Services,1500,4/2/23,5/2/23,5/15/23,Paid
250107,1,New England Nationals,"Epping, NH",7,Drone Services,3250,6/1/25,7/1/25,7/1/25,Paid
250101,1,NHRA GatorNationals,Gainesville,8,Drone Services,3250,3/15/25,4/12/25,5/1/25,Paid
240015,1,Gatornationals,"Gainesville, FL",8,Drone Services,1585.79,3/12/24,4/12/24,4/20/24,Paid
230011,1,Gatornationals,"Gainsesville, FL",8,Drone Services,1500,3/12/23,4/12/23,4/20/23,Paid
240052,1,US Nationals,"Indianapolis, IN",9,Drone Services,3000,9/7/24,10/7/24,10/11/24,Paid
230020,1,US Nationals,"Indianapolis, IN",9,Drone Services,1500,9/5/23,10/5/23,10/15/23,Paid
240047,1,Summit NHRA Nationals,"Norwalk, OH",10,Drone Services,3000,7/2/24,8/2/24,8/15/24,Paid
230015,1,Summit NHRA Nationals,"Norwalk, OH",10,Drone Services,1500,6/25/23,7/25/23,8/15/23,Paid
250110,1,Summit NHRA Nationals,"Norwalk, OH",10,Drone Services,4000,6/29/25,7/29/25,7/25/25,Paid
250102,1,NHRA Arizona Nationals,Phoenix,11,Drone Services,3250,3/26/25,4/26/25,5/1/25,Paid
240018,1,Nevada Nationals,"Phoenix, AZ",11,Drone Services,1529.99,4/10/24,5/10/24,5/20/24,Paid
250103,1,NHRA Winternationals,"Pomona, CA",12,Drone Services,3250,4/2/25,5/2/25,5/6/25,Paid
240016,1,WinterNationals,"Pomona, CA",12,Drone Services,1549.78,3/28/24,4/28/24,5/10/24,Paid
230013,1,Winternationals,"Pomona, CA",12,Drone Services,1500,4/2/23,5/2/23,5/15/23,Paid
240058,1,NHRA Finals,Pomona,13,Drone Services,3000,11/20/24,12/20/24,12/31/24,Paid
230026,1,NHRA Finals,"Pomona, Ca",13,Drone Services,1598.06,11/12/23,12/12/23,12/20/23,Paid
240053,1,Pep Boys Nationals,"Reading, PA",14,Drone Services,3000,9/18/24,10/18/24,10/22/24,Paid
230021,1,Pep Boys Nationals,"Reading, PA",14,Drone Services,1500,9/17/23,10/17/23,10/30/23,Paid
240042,1,Virginia Nationals,"Richmond, VA",15,Drone Services,3000,6/24/24,7/24/24,7/30/24,Paid
250109,1,NHRA Virginia Nationals,"Richmond, VA",15,Drone Services,3250,6/22/25,7/23/25,7/23/25,Paid
230017,1,Northwest Nationals,"Seattle, WA",16,Drone Services,1500,7/23/23,8/23/23,9/1/23,Paid
250111,1,NHRA Northwest Nationals,"Seattle, WA",16,Drone Services,3250,7/20/25,8/20/25,,Unpaid
240049,1,Sonoma Nationals,"Sonoma, CA",17,Drone Services,3000,7/30/24,8/30/24,9/5/24,Paid
230018,1,Sonoma Nationals,"Sonoma, CA",17,Drone Services,1548.08,7/30/23,8/30/23,9/5/23,Paid
250112,1,Sonoma NHRA Nationals,"Sonoma, Ca",17,Drone Services,3250,7/27/25,8/27/25,,Unpaid
240054,1,Midwest Nationals,"St. Louis, IL",18,Drone Services,3000,10/1/24,11/1/24,11/10/24,Paid
230023,1,Midwest Nationals,St Louis,18,Drone Services,1559.26,10/1/23,11/2/23,11/10/23,Paid
250104,1,Vegas 4 Wide,Las Vegas,19,Drone Services,3250,4/14/25,5/14/25,5/16/25,Paid
230014,1,NHRA Four-Wide Nationals,"Las Vegas, NV",19,Drone Services,1500,4/16/23,5/16/23,5/15/23,Paid
240019,1,NHRA 4-Wide Nationals,"Las Vegas, NV",19,Drone Services,1561.87,4/17/24,5/18/24,5/22/24,Paid
240057,1,Nevada Nationals,"Las Vegas, NV",20,Drone Services,3000,11/8/24,12/8/24,12/26/24,Paid
230025,1,Nevada Nationals,"Las Vegas, NV",20,Drone Services,1531.71,10/29/23,11/29/23,12/10/23,Paid
