sub_cat,category,schedule_c_line
Advertising,Advertising,8
Airfare,Travel & Meals: Travel,24b
Aviation Insurancve,Insurance,15
Bank Fees,Other Expenses,27a
Business Insurance,Insurance,15
Car Rental,Travel & Meals: Travel,24b
Cellular Service,Utilities,25
Computer Equipment,Other Expenses,27a
Contractors,Contract Labor,11
Drone Equipment,Other Expenses,27a
Drone Equipment Rental,Rent or Lease: Other Business Property,20b
Drone Equipment Sale,Equipment Sale,
Drone Repairs,Repairs & Maintenance,21
Drone Services,Gross Receipts,1
Education,Other Expenses,27a
Fuel,Travel & Meals: Travel,24b
Hotels,Travel & Meals: Travel,24b
Meals,Travel and Meals: Deductible Meals,24a
Mobile Internet,Utilities,25
Office Equipment,Other Expenses,27a
Other,Other Expenses,27a
Other Travel,Travel & Meals: Travel,24b
Photography Equipment,Other Expenses,27a
Photography Equipment Sale,Equipment Sale,
Photography Services,Gross Receipts,1
Photography Supplies,Supplies,22
Registrations,Other Expenses,27a
Software,Other Expenses,27a
Web Hosting,Other Expenses,27a
