date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
1/23/22,Expense,36,Epping - Parking,Travel & Meals: Travel,Other Travel,Airborne Images,Epping,220007,
2/4/22,Expense,128,Leaseville,Other Expenses,Office Equipment,"TSP, LLC",,,
3/8/22,Income,1400,Fatheadz Pay,Gross Receipts,Photography Services,Tom Stout Photography,,,
3/8/22,Income,1400,Fatheadz Pay,Gross Receipts,Photography Services,Tom Stout Photography,,,
5/19/22,Income,2073.98,Fatheadz Pay,Gross Receipts,Photography Services,Tom Stout Photography,,,
6/6/22,Expense,450.18,Epping,Travel & Meals: Travel,Car Rental,Airborne Images,Epping,220007,Rental Car
7/7/22,Expense,146,Denver,Travel & Meals: Travel,Hotels,Airborne Images,Denver,220016,
7/11/22,Expense,219,Sonoma ,Travel & Meals: Travel,Hotels,Airborne Images,Sonoma,220012,
7/21/22,Expense,424.91,San Francisco,Travel & Meals: Travel,Car Rental,Airborne Images,Sonoma,220012,Rental Car
7/27/22,Income,469.94,Fatheadz Pay,Gross Receipts,Photography Services,Tom Stout Photography,,,
1/1/23,Expense,29,Udemy Training Subscription,Other Expenses,Education,"TSP, LLC",,Monthly,
1/1/23,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
1/1/23,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
1/1/23,Expense,13.36,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
1/1/23,Expense,17,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
1/1/23,Expense,74.4,Cell Phone,Utilities,Cellular Service,"TSP, LLC",,,
1/1/23,Expense,109.99,FirstNet,Utilities,Cellular Service,"TSP, LLC",,,
1/1/23,Expense,99.38,iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
1/12/23,Expense,13.38,Office 365,Other Expenses,Software,"TSP, LLC",,Monthly,
1/14/23,Expense,15.36,Website - Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
1/16/23,Expense,13.36,Paddle.net,Other Expenses,Software,"TSP, LLC",,Monthly,
1/20/23,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
2/1/23,Expense,29,Udemy Training Subscription,Other Expenses,Education,"TSP, LLC",,Monthly,
2/1/23,Expense,29.99,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
2/1/23,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
2/1/23,Expense,13.36,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
2/1/23,Expense,17,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
2/1/23,Expense,74.4,Cell Phone,Utilities,Cellular Service,"TSP, LLC",,,
2/1/23,Expense,109.99,FirstNet,Utilities,Cellular Service,"TSP, LLC",,,
2/1/23,Expense,99.38,iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
2/1/23,Expense,128,Leaseville,Other Expenses,Office Equipment,"TSP, LLC",,,
